step,step_loss,lr
586,0.210600,0.00008908
587,0.210597,0.00008902
588,0.110878,0.00008897
589,0.173976,0.00008891
590,0.277319,0.00008886
591,0.131209,0.00008880
592,0.102096,0.00008875
593,0.228874,0.00008869
594,0.216468,0.00008864
595,0.105680,0.00008858
596,0.131517,0.00008853
597,0.229762,0.00008847
598,0.100294,0.00008841
599,0.174277,0.00008836
600,0.036172,0.00008830
601,0.215606,0.00008825
602,0.181294,0.00008819
603,0.116651,0.00008813
604,0.083591,0.00008808
605,0.130671,0.00008802
606,0.283203,0.00008796
607,0.182243,0.00008791
608,0.094864,0.00008785
609,0.092664,0.00008779
610,0.091926,0.00008774
611,0.177590,0.00008768
612,0.112602,0.00008762
613,0.188696,0.00008756
614,0.102672,0.00008751
615,0.202079,0.00008745
616,0.332451,0.00008739
617,0.129062,0.00008733
618,0.191099,0.00008727
619,0.115621,0.00008722
620,0.107657,0.00008716
621,0.147285,0.00008710
622,0.223371,0.00008704
623,0.033953,0.00008698
624,0.160744,0.00008692
625,0.122346,0.00008686
626,0.276395,0.00008680
627,0.133126,0.00008675
628,0.037492,0.00008669
629,0.222794,0.00008663
630,0.253178,0.00008657
631,0.098275,0.00008651
632,0.086812,0.00008645
633,0.119760,0.00008639
634,0.136171,0.00008633
635,0.117963,0.00008627
636,0.206950,0.00008621
637,0.251318,0.00008615
638,0.073709,0.00008609
639,0.114041,0.00008603
640,0.076691,0.00008597
641,0.082990,0.00008591
642,0.163530,0.00008585
643,0.160203,0.00008578
644,0.060221,0.00008572
645,0.078779,0.00008566
646,0.181109,0.00008560
647,0.289012,0.00008554
648,0.149169,0.00008548
649,0.167844,0.00008542
650,0.151549,0.00008536
651,0.054270,0.00008529
652,0.145323,0.00008523
653,0.202136,0.00008517
654,0.170427,0.00008511
655,0.177435,0.00008505
656,0.247017,0.00008498
657,0.149959,0.00008492
658,0.309743,0.00008486
659,0.151244,0.00008480
660,0.151246,0.00008473
661,0.090019,0.00008467
662,0.103375,0.00008461
663,0.177205,0.00008454
664,0.123419,0.00008448
665,0.030104,0.00008442
666,0.210746,0.00008435
667,0.289620,0.00008429
668,0.142534,0.00008423
669,0.093937,0.00008416
670,0.118221,0.00008410
671,0.228538,0.00008404
672,0.077576,0.00008397
673,0.180392,0.00008391
674,0.065763,0.00008384
675,0.141195,0.00008378
676,0.182956,0.00008372
677,0.130043,0.00008365
678,0.113856,0.00008359
679,0.109518,0.00008352
680,0.166904,0.00008346
681,0.107552,0.00008339
682,0.126192,0.00008333
683,0.151565,0.00008326
684,0.165193,0.00008320
685,0.173474,0.00008313
686,0.141825,0.00008307
687,0.205034,0.00008300
688,0.273640,0.00008293
689,0.169446,0.00008287
690,0.102747,0.00008280
691,0.112957,0.00008274
692,0.122945,0.00008267
693,0.075413,0.00008260
694,0.096717,0.00008254
